password,score
DYpmCgPt,19
ZXVDttzA,19
fQdfTcmy,19
KutuPfMd,19
UjSDyUDu,19
SenHLPBX,19
BjLceKXq,19
UAUnnZqN,19
aAYCryyR,19
cTFvEvmW,19
rVDPkpBH,19
qqPxqYtm,19
mAMHXetW,19
caBsrDfd,19
fCaJGkhA,19
uVDSVEPW,19
bahyJTXb,19
LyWJLUGj,19
yBAaNkXR,19
uPLvxauF,19
JQzJnWXC,19
CmVpnhpJ,19
qYsVAYNh,19
wHqPQewt,19
jnZqaZNA,19
AZWLDqUv,19
nxSFSBYD,19
TTBDzVsR,19
hkVQvHuP,19
FKrDFMdC,19
PaFPbjxX,19
PAbtPRfx,19
NvuHkAUg,19
jduyHDAW,19
GaTbsutX,19
rYgnxsaV,19
aEYAUeCx,19
pSkjRjZf,19
mwCxwgLe,19
uGadSqGw,19
TDbPxxrf,19
fGzmYLLe,19
kMdVrXzk,19
yLYxtEJj,19
GvDqUXqm,19
MxsCDrmh,19
UkxRDUKW,19
chHyfxYe,19
cBxhpMDc,19
QhemLsbX,19
VdpFPYTE,19
EELGSfzG,19
VcHXgJhT,19
QnQnNaSQ,19
QcbqbUNE,19
FwFeJnMY,19
svUQyRWm,19
BgvsuLTF,19
WHjpjbNn,19
qJfkmYYC,19
wEMMrdaq,19
CJzQYMaw,19
JCKBKwyT,19
LfwQuXAU,19
qgcgtRKk,19
KbqvPAdj,19
jMJtxDVU,19
YTZRMuhS,19
YRSznLng,19
jawcPqXU,19
juKxcZRQ,19
BaUrseCS,19
UTGLKVsq,19
WzDFGNWc,19
uWcAETaC,19
HDXwvAMm,19
QYUHFaQu,19
SsETdHuL,19
tajjwNxH,19
WjWDzmfs,19
EwEtKzbt,19
xuRnwDmM,19
PPqKaMER,19
dXChCMmw,19
MrJjCQnZ,19
HzybLNSb,19
FSNeMumn,19
LedraEZX,19
sbcNvZTh,19
rGFYydqA,19
hLBhCdJS,19
JLGJWmqH,19
bFXRnyMr,19
YqHaggCJ,19
GphEwdus,19
QGvyknyc,19
LKnCkgkL,19
jVKnYZHS,19
KKWMYBnV,19
ENZdUFTK,19
average score,19.0
