password,score
79vnV8vU,19
2t3ykBhv,19
dvA9AV27,19
tAhnbV7R,19
aVHZW87S,19
8WSw4aNs,19
3sZGAceM,19
e2U7YjLZ,19
FpP3aB2X,19
vU8LAE5u,19
7CxxDnd5,19
PFs7Hxk8,19
mHVYj86P,19
EUZ5TBmK,19
97kvXgav,19
4dhKFuvh,19
k7aQDe5H,19
9pN2T6AV,19
6MG97fAd,19
5DXmnkwg,19
C83X4YAb,19
wfPc8aV7,19
e6s5A6Na,19
yXc8cm74,19
6Z2ubwEY,19
fjWnLD9t,19
VF8ALYgv,19
r7D9vT8G,19
k7V48PMd,19
5CgXZXHB,19
kc83vzcH,19
sbc24BTE,19
ZnZg44fd,19
FaKf3MDD,19
NsUb7Xmp,19
a8LDyaCZ,19
bjH4V3mK,19
7eWJTpdV,19
ZnEWvhs8,19
wUEuUZU9,19
wQjJ2gr3,19
kP84xYPV,19
44wAxcxn,19
6KEbycXC,19
c5LZBZG5,19
sDRUV65S,19
efh7pSyC,19
VHL9yrBT,19
Jve67JxQ,19
vKmFMc3E,19
pkbTsQ63,19
ykNrjzH9,19
umxQTU3a,19
fN3z5bBQ,19
rC376bW5,19
FrVWRuq4,19
Uv6z4cHt,19
vLnck778,19
DS3fSWkF,19
FC3msjZG,19
w2X2MugT,19
4YagTy5p,19
6AWtT,12
Vca2fmha,19
XEbNB8EM,19
jCfJvTe7,19
8XSFb2R4,19
at4prpLk,19
bQJb6XJu,19
FVmTmp88,19
X25fRTZQ,19
pyRdjPw5,19
BAg3HKCN,19
5My5LvpJ,19
UmD2LBSd,19
Ws2TuFnH,19
JvTURU8Q,19
S55Z2xAe,19
HZbavuf7,19
6Wr9Pc9u,19
U6DxbMvu,19
kBaGd3Qf,19
2wGftm7c,19
hK5fqECS,19
jR8KbumH,19
vc3QhpkK,19
N4hLndV3,19
y6acpSr7,19
H3zXuppr,19
ZXExXp6U,19
a79KWLHa,19
GPGWY2uU,19
dU3RfNwh,19
BXUrq7Bq,19
B88kyEPa,19
5Z5TsHtq,19
SaaerA8X,17
eXPZx5H2,19
69RkgJzz,19
u6J8XsPE,19
average score,18.91
