password,score
ywqOxyDiLZJxMxRtqtuD,24
FoXNgxNWvsHtZxKuDRxz,24
YXUOilwPuQuBKTtGGIhZ,24
hDnejXXCBEgDytyqmMdI,24
toMbuWWkvyCDQeSHdzSl,24
waPPlfDjwfLPkfHdeBJI,24
maEgedsyEaCbDsvPwZuf,21
WyacgpOargydZPszJOhk,24
xPhqWelzvXyuXhgtmTRZ,24
YfiRkpjXnHViYYfBhuVV,24
lPtRmMBCujkDQcVjlJDn,24
qQmKOaArWkxDPaQZQyKW,24
tzShblXoylEMzjVABjIY,24
bmKYCAJlqVpSqtaADZnn,24
fkIuuCJASXfTimHLxYEZ,24
tWQxsdMcEBXAnkQPGseQ,24
xUtYkQXnwsJwTNTzSgpI,24
UwvKfyLUoVqOiupoIxCh,24
aoFqImVEZXKZAWYKTWeZ,24
xLqUjSCEGJGaGJMoghyq,24
wObVSXnNZPMQAlhFzsJL,24
wwWRdWVYeUQPkuCbtwDg,24
sqlrBPJTaHbyZRqwhswU,24
aIMfGZYQcmjbnYvgEDPx,24
OtGWRqxzKajhvAbGRbEn,24
PcTxziLgTbsVvgfLsIFC,24
YicoFunKofEWFmLymYSy,20
yJLSLMKfAbZCssGEbDFu,24
uLaeLJcpAGTJVeeBKjsp,24
khURbZdjSnKffZllktAs,24
utVUjuDXzboOQDBOmZpp,22
zzGuKoNWvJcWMLQJECty,24
FILwTUUnKGckBHnrVjaw,24
uHcVLpPCzOlYggLBOYZb,24
ZHgpKFriuHpSkDGkqOje,24
dFcvUbTuPZSqzjXfIvxp,24
RtozbVMIbyBvQcNZbCqr,24
DHwCqUiGrJNruiJRqYOO,24
UNHtRvkbsZSJwvMUzirk,24
QdswFXNiCczFVkNWneRp,24
BaMctirSePrgXgdrRJEm,24
qwoNxMgpLzCWPuynFulx,24
lbTKzuHdQjbWoQGGdzCt,24
hONPODmAkKHuwchNCRUK,24
qgaXdQbPAsPwJyamEXJV,23
vrlrXrrvZhFAZJSLoZHF,24
ZeLLoOZmQEfJxnMqIdTI,23
FoACVppPazeeFUvWCnYZ,24
PLQYFcWCwvBGsQGUbmYv,24
ZwoaVVvwZwdSOHlecXgW,24
YQEUzRIBXaWwyEpIMQMa,22
sADFsjFsfMrNKFaTtXDt,23
oFmNmgngDbaZbXAyeaMX,23
eJGgDHJhiOhDMiTwRhAg,24
kxQSMakwmrGqLvyoVEzl,24
IrdXQrihBYSEkksoFEjd,24
KfzlEMkMyajgfjQYGZoT,24
mhTQoIZnsHPRlXuyHKHG,24
JMbcNKAEnfbwgEcZOCWa,24
JTqbQircOJSkYUAJDzGb,24
XrJHDyTJfahyRLBenHxT,24
kKqWApsRERwKXQRFYMXt,24
kqfsraAdQoHuIkwfYCze,24
yNcVwgezvVqYPpUICjFt,24
NCMsVfluMvMZfLgsmsgB,24
qFBafUzOFByqkMBeUlJS,24
HGnYMedUNBZpvSyPsBsu,24
hZxvOryFHKFsaCROwrTS,19
GfiFpQZCMZXIrWhHkRVe,24
DcvbZTTCaueiFCiPweLE,24
PXoeMCIEHwYPeUxcJrdJ,24
xqqAYRLXFKqFqNZoIrgB,24
htUXZQbsGfmYHXaTkTjz,24
vtBKdVabxFnrcrbEpihq,24
JsXXposgjeqEfofcEzHD,24
BcSOrRhbyFFGQWOgugYg,24
vCqWprnNiwQjbKbdAApY,24
ZqteKMlskOApGNtTRosa,24
bmAvZLlfOiAlmnOOdMtT,24
EFCLhuckxQJOkyQkIxCQ,24
DlNPOWeITQDrxppVOPtU,22
zagFAtiUROJMcmTXaxaL,24
WWZUJFRZJGumvgomVUXF,24
rPFbXOiUReYpZFnqpiJz,24
ogWtpEfzkHHLGTObzBCN,24
uZMpthCZyOmGIkjanlVn,24
BuqBihJHgvyNZrOkqeaI,24
XaQMDDKCVULXgXOpjGiS,24
ViaekKgvVNcPbzvTlqnh,24
bdshTWuRWURSyRKvcPMp,24
WeJRZQAeilkvOSEfpwTp,24
sToUJWSesUyyOnwnkIdp,24
mBjtGSTIxmhlNekqZiiB,24
upqvLeKNqoxgksqCNUEL,24
yOuLdZsoTgxXAoaEGIjk,22
PuDruCgWkGBwRprmoAHF,24
ItoxhjcDeOaoBYoVgSge,24
mtBmfvIBPEmNMuJfUntz,23
XsmffCaddiXmxHMP,16
anLflScQwTDILyGsFTdU,24
average score,23.67
