password,score
itCWx22V08sP2P243Yxn,24
Qitk511zMTLpD27512Zl,24
l4PMy946XrK8e4lZGz32,24
i7J73UQMw263nVkW3h3e,24
29k8O0F040I8sosYIJyh,24
4scrm1X8C0P7R16l0DmQ,24
7r258Ma9e5O5KTzWoSu0,24
aJ64Hk5Uz7k1o31U5CqT,24
bt8K96xigmJIK35V70O6,24
49C3EA81w7rHjBEzse01,24
j08Naw5I97LDdTSe296k,24
9gg26MLZ66Tn2tOax19K,24
v5A25h8Z8xe3kV6eGTN8,24
G4ygF9Cr43QlD8f7u24S,24
RW89dG5696wSe6x2tvPB,24
ZRT64s99GiFEsp0k19x3,24
r38YPJ29rqyLSh8v585O,24
phV2me5mGW54Z1m9C98R,24
W73M73s928MUno0iiUNd,24
5IllC36piPT4k882Sk3U,23
iHT19isVQ1r5C2R2d28d,24
5U704Hk89AkFuw80wFmQ,24
0a422SnM9VtVR0g3f5rD,24
wAq0C6a98JjMD8216vRn,24
kC8WNu087icRD5Zm8e49,24
9o52rAomOfQ40Wr6EJ66,24
H7fs6ts81X1MhY29aDI1,24
oD28C4r5VKa34w9cR2fY,24
6w36Ti90SjS83ZdTgXp8,24
D4McXAe071cJ4nkJu875,24
n1j530Uj0Z9c9ZH2SpUj,24
zE0y68cnRu5W619hJZ0P,24
3mUw3bCP339FJx4Hd4x0,24
Qu42X6pZ2wv8kU6nOZ06,24
01KI68bC2NG5pAw82boi,24
81DmEV6656xXzb6NmnV5,24
33vLgEcN5uc6mU4T1O00,24
2A8x10UWzcA7h8Mxs4Y7,24
Gwc2P34f0dgFE037Bp1H,24
h9039zvQ86xOuI3Rh1PK,24
85m6nVA67pb5pQHl64QK,24
Dfh2u75v58X0NQhTRl81,24
KdGcQ99Y76NBtn379kk3,24
9Z1bO372Lsfy4AGq3Zg6,24
0M3XuQ7uNvVz9s810Oa9,24
b12AT48r63vZsD6cAqY4,24
ofIONB3u039Z1qb76bP2,24
0tl396lH7zUD8LhLh71Z,24
43L1UwBQ60cg5J1uviM9,24
2v96946FX9qqpoOZS1pN,24
9E0ng0eI473J47oHSiZg,24
HQOG927acc8qD37k8S8t,24
a0K0r2A5sC0XB4sLq00y,24
4BR1yxmuT1I39gy2C13B,24
C2x5bj2b6Z41Q9fI9WXl,24
4NfeOG5i60KT2yAo439u,24
h20w22XQ3nxFV84uoCN4,24
09gUA4pS5ScB112mW4ab,24
944dMyFgs6BBQ2J8b5b1,24
fk99FUq4n8O8Nu0r2DB2,24
Xny407T4qt3wQs3QNW47,24
B0ZT1Lqp7156e5ZD4osd,24
eO4g9rIg0LJ7p51Or4O4,24
I06bBnaq884dC750NtJD,24
Nw59v425NVL00U1Xlqum,24
HcMQb2tSp5D332m12b4D,24
qjId5NB0uNz0O94L0b20,24
Cy5371liA3Oq5V03dhVD,24
2YG9K6Tn1ha4a6qKB87w,24
jnY5bg407eNHQCUe4083,24
2z88e1tR2hBj7Mg94XIX,24
5tnogfY4N5071YKi72HM,24
LkMH9t3dH54hiW314v9L,24
6B096nymRa1xT405jRBT,24
t3V8df383BKAmC611kMk,24
1p9GU623Lxrl6gF5q7NI,24
w5u342v18EM9dB8uZyKV,24
q1pHW65nu0H7Ml2R8w1P,24
35sBrDHq8g07PkPjO460,24
1Sq21n9WG995cPudUDn3,24
SncL821zy00H33gwFEZ2,24
kK0q80ox64tBMFVEz275,24
BmM482NF3Mb90h6Ho4hw,24
0Wy8Uoks179YFY9q3Id4,24
dx7ClSM1958Y51w3dfAZ,24
7yr1I2Qmfe77YDQ06G9o,24
vZf9jy793WkMtU9O6Y81,24
mf1Iq5024El2uBsAN62Z,24
35Uj5Nv2LF80dyxO3T0h,24
9Ror00102GvDWz06UohC,24
8JjLzxjT70u4B317x2DI,24
b1Gu5A1e0sFRl64U3k4K,24
qzQJz6p18250JMyK60jW,24
9y1nOmYCqo87UO518V7v,24
6gnzNdE2gJ9Pw28774AJ,24
2e84jVWw3dZI7y97Ae6L,24
037e19UpSMjh6yNQ24eN,24
T93Ju9reQemiH3D11W83,24
Eqz011raA286wT7yIWF9,24
29502lkIC2brgKB4QIa6,24
average score,23.99
