password,score
hXw7+<I9,19
"0t9D=Ba,",19
qDL9e2}_,19
1'U{Hyi6,19
_uVYp19/,19
D;%5f0wS,19
V1Mr6k%*,19
Pu(8H=3k,19
%ZC]z93n,19
Wx:&kN76,19
19tOH\c^,19
2+k3T/wA,19
?k7^N9gK,19
*StD1l5&,19
iE-w48M>,19
}Nd5B1#j,19
"MJha14,|",19
a*25ZrH<,19
F$}Dx1a9,19
@1p=FgS0,19
1`j$7qLM,19
sIk1Y9+-,19
;TL9n|n0,19
7[oTb5'F,19
"v""y9RG9<",19
Z2Y?/fo1,19
%l8R`mS2,19
]n4H$5iF,19
}xO;4jL9,19
dO_2&Cn2,19
Ie~5m<M5,19
l:.3tYJ4,19
UXol8%0},19
O_d1Y9-k,19
lEoN^1]9,19
;Hy0&t4P,19
.7oQp7V.,19
re3?8SX.,19
GmU^>a44,19
`5m(hKD5,19
3KJ{/rz7,19
%4xd_Q5M,19
7;wuX{5C,19
51L>k)Cy,19
"mU3Hi,9$",19
"`s8""StW9",19
Nkd)45.C,19
q0W8!Uz^,19
k:R01<Sl,19
jsY1)P-1,19
"""d6X6Ih`",19
Sd>04Sg;,19
(D?8Sd9z,19
3{QO;iq5,19
2Emo2K(\,19
YO{83z%o,19
t'/36cJX,19
D#07Nw$c,19
&vNn!Q92,19
k3@YSd8),19
"e0O*x4""R",19
%7S1yT(t,19
rV@-Xi07,19
2=y7zTZ/,19
\5Uf]2jZ,19
6L7g)W!v,19
"""ceV68@F",19
1fVwG$^8,19
gW@4Nz3>,19
56mUy%D),19
'9V6?wlO,19
wiL#H32/,19
Ygy91*O_,19
v3K&=T5l,19
(p9\Vm0N,19
_h*5nU5R,19
v'65UVs>,19
#)R3lgG9,19
37'.mGRa,19
4!)sWkP2,19
Hgv19Q\+,19
N&Es46i>,19
43rBfE|;,19
P3g:+rD5,19
"3kn8AK""{",19
N73;y:Gn,19
"y,-9EKn0",19
"CDk""*u72",19
"4BH1d"")c",19
kK{o51F|,19
f0g!U&F3,19
C@64)kGl,19
{0c7/MuG,19
p~`CW31w,19
"C5p,Un>9",19
e[%e07XJ,19
1q}Sv9H&,19
KWrz4;[0,19
CR5b[b7\,19
3*4PeU+l,19
average score,19.0
